SRR11647705,shCtrl,R1 
SRR11647706,shCtrl,R2
SRR11647707,shCtrl,R3
SRR11647708,shESCCAL-1,R1
SRR11647709,shESCCAL-1,R2
SRR11647710,shESCCAL-1,R3
