-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	472
-150	-145	7316
-145	-140	6368
-140	-135	6682
-135	-130	8103
-130	-125	8860
-125	-120	10362
-120	-115	11370
-115	-110	12443
-110	-105	14098
-105	-100	15520
-100	-95	16795
-95	-90	18901
-90	-85	19814
-85	-80	20696
-80	-75	21689
-75	-70	22616
-70	-65	23445
-65	-60	25043
-60	-55	25002
-55	-50	25123
-50	-45	25445
-45	-40	25619
-40	-35	25375
-35	-30	25975
-30	-25	25361
-25	-20	25081
-20	-15	24689
-15	-10	23211
-10	-5	23125
-5	0	23541
0	5	21443
5	10	20812
10	15	20278
15	20	19069
20	25	18544
25	30	17645
30	35	16992
35	40	16030
40	45	15302
45	50	14330
50	55	13593
55	60	13008
60	65	12175
65	70	11457
70	75	10807
75	80	10034
80	85	9445
85	90	8794
90	95	8445
95	100	8009
100	105	7417
105	110	6961
110	115	6417
115	120	6157
120	125	5481
125	130	5322
130	135	4937
135	140	4534
140	145	4200
145	150	3955
150	155	3637
155	160	3335
160	165	3188
165	170	3001
170	175	2827
175	180	2608
180	185	2427
185	190	2349
190	195	2139
195	200	1978
200	205	1883
205	210	1768
210	215	1546
215	220	1540
220	225	1455
225	230	1330
230	235	1264
235	240	1215
240	245	1019
245	250	1099
