-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	1039
-150	-145	17398
-145	-140	13422
-140	-135	13324
-135	-130	14649
-130	-125	15207
-125	-120	16237
-120	-115	17217
-115	-110	18130
-110	-105	19298
-105	-100	19933
-100	-95	20651
-95	-90	21540
-90	-85	22129
-85	-80	22146
-80	-75	22409
-75	-70	23023
-70	-65	22648
-65	-60	23712
-60	-55	23628
-55	-50	23147
-50	-45	23141
-45	-40	22808
-40	-35	22428
-35	-30	22997
-30	-25	22490
-25	-20	22253
-20	-15	21369
-15	-10	20431
-10	-5	20241
-5	0	21166
0	5	19120
5	10	18132
10	15	17736
15	20	17248
20	25	16390
25	30	15858
30	35	15566
35	40	14642
40	45	13879
45	50	12830
50	55	12285
55	60	12026
60	65	11108
65	70	10604
70	75	9961
75	80	9441
80	85	8659
85	90	8194
90	95	7613
95	100	7388
100	105	6959
105	110	6445
110	115	5857
115	120	5580
120	125	5169
125	130	4773
130	135	4551
135	140	4067
140	145	3889
145	150	3548
150	155	3416
155	160	3003
160	165	2861
165	170	2720
170	175	2589
175	180	2387
180	185	2194
185	190	2065
190	195	1898
195	200	1847
200	205	1542
205	210	1460
210	215	1475
215	220	1418
220	225	1276
225	230	1199
230	235	1067
235	240	1034
240	245	910
245	250	976
