"","gene","log2FoldChange","padj"
"1","ENSG00000198727",2.66688647584442,1.64996961694459e-249
"2","ENSG00000181634",2.54756611323536,7.19866632175959e-188
"3","ENSG00000069535",1.73600432394387,5.77046123135802e-157
