-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	774
-150	-145	11686
-145	-140	9238
-140	-135	9349
-135	-130	10616
-130	-125	11578
-125	-120	12894
-120	-115	13723
-115	-110	15356
-110	-105	16286
-105	-100	17942
-100	-95	18790
-95	-90	20222
-90	-85	21070
-85	-80	21796
-80	-75	22109
-75	-70	23026
-70	-65	23573
-65	-60	24392
-60	-55	24453
-55	-50	24588
-50	-45	24922
-45	-40	24596
-40	-35	24799
-35	-30	24885
-30	-25	24479
-25	-20	24061
-20	-15	23052
-15	-10	22736
-10	-5	21952
-5	0	22694
0	5	20500
5	10	20317
10	15	19113
15	20	18107
20	25	17889
25	30	17062
30	35	16391
35	40	15377
40	45	14644
45	50	13682
50	55	13180
55	60	12530
60	65	11828
65	70	11049
70	75	10326
75	80	9715
80	85	9093
85	90	8447
90	95	7963
95	100	7475
100	105	6982
105	110	6502
110	115	5903
115	120	5558
120	125	5224
125	130	4894
130	135	4474
135	140	4163
140	145	3983
145	150	3528
150	155	3330
155	160	3055
160	165	2929
165	170	2778
170	175	2580
175	180	2468
180	185	2212
185	190	1992
190	195	1931
195	200	1824
200	205	1608
205	210	1547
210	215	1458
215	220	1278
220	225	1238
225	230	1114
230	235	1052
235	240	1005
240	245	955
245	250	982
